korean_term,english_term,examples
가스용품제조사업,gas appliance manufacturing business,“가스용품제조사업”이라 함은 액화석유가스 또는 도시가스사업법에 의한 연료용 가스를 사용하기 위한
appraisal,(appraise),"문화재청장은 제출된 물건을 감정하고, 처리하여야 한다 The Administrator of Cultural Properties"
긴급자동차,emergency motor vehicles,“긴급자동차”라 함은 소방자동차·구급자동차 그 밖의 대통령령이 정하는 자동차로서 그 본래의 긴급한
실명등기,actual/real name registration,“실명등기”라 함은 이 법 시행 전에 명의신탁약정에 의하여 명의수탁자의 명의로 등기된 부동산에 관한 물권을
contributed,research institute,“정부출연연구기관”이라 함은 정부가 출연하고 연구를 주된 목적으로 하는 기관을 말한다 The term
    
