category,evaluation_type,alpha,sparse_score,dense_score,hybrid_score,context_recall,context_precision
형사A(생활형),hybrid,0.5,0.5689475062594165,0.5026895999908447,0.5358185531251306,1.0,0.9617346938638119
형사A(생활형),sparse,1.0,0.5689475062594165,0.0,0.5689475062594165,1.0,0.9999999999857143
형사A(생활형),dense,0.0,0.0,0.5026895999908447,0.5026895999908447,1.0,0.9107142856991072
형사A(생활형),hybrid,0.5,0.5959289017303373,0.5746166110038757,0.5852727563671065,1.0,0.9821428571288265
형사A(생활형),sparse,1.0,0.5959289017303373,0.0,0.5959289017303373,1.0,0.9821428571288265
형사A(생활형),dense,0.0,0.0,0.5746166110038757,0.5746166110038757,1.0,0.9821428571288265
형사A(생활형),hybrid,0.5,0.5717785454245917,0.4791853725910187,0.5254819590078053,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.5717785454245917,0.0,0.5717785454245917,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.4791853725910187,0.4791853725910187,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.5395069013679509,0.4060828685760498,0.47279488497200034,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.5395069013679509,0.0,0.5395069013679509,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.4060828685760498,0.4060828685760498,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.563141399368554,0.5582153797149658,0.56067838954176,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.563141399368554,0.0,0.563141399368554,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.5582153797149658,0.5582153797149658,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.5782243827498953,0.4862733781337738,0.5322488804418346,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.5782243827498953,0.0,0.5782243827498953,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.4862733781337738,0.4862733781337738,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.5843251430000738,0.5002741813659668,0.5422996621830203,1.0,0.9761904761742063
형사A(생활형),sparse,1.0,0.5843251430000738,0.0,0.5843251430000738,1.0,0.9821428571288265
형사A(생활형),dense,0.0,0.0,0.5002741813659668,0.5002741813659668,1.0,0.9999999999833333
형사A(생활형),hybrid,0.5,0.5827902677935015,0.4725196957588196,0.5276549817761605,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.5827902677935015,0.0,0.5827902677935015,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.4725196957588196,0.4725196957588196,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.5846059608327543,0.574064314365387,0.5793351375990706,1.0,0.9999999999833333
형사A(생활형),sparse,1.0,0.5846059608327543,0.0,0.5846059608327543,1.0,0.9999999999833333
형사A(생활형),dense,0.0,0.0,0.574064314365387,0.574064314365387,1.0,0.9999999999833333
형사A(생활형),hybrid,0.5,0.5749587685834402,0.44381022453308105,0.5093844965582606,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.5749587685834402,0.0,0.5749587685834402,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.44381022453308105,0.44381022453308105,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.5761314803049999,0.49122750759124756,0.5336794939481238,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.5761314803049999,0.0,0.5761314803049999,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.49122750759124756,0.49122750759124756,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.5469847920556784,0.37883079051971436,0.4629077912876964,0.8,0.9999999999875
형사A(생활형),sparse,1.0,0.5469847920556784,0.0,0.5469847920556784,0.8,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.37883079051971436,0.37883079051971436,0.8,0.9999999999875
형사A(생활형),hybrid,0.5,0.5820777101621836,0.49556049704551697,0.5388191036038503,1.0,0.9999999999875
형사A(생활형),sparse,1.0,0.5820777101621836,0.0,0.5820777101621836,1.0,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.49556049704551697,0.49556049704551697,1.0,0.9999999999875
형사A(생활형),hybrid,0.5,0.5561758924045888,0.5300251245498657,0.5431005084772272,0.5714285714285714,0.9999999999875
형사A(생활형),sparse,1.0,0.5561758924045888,0.0,0.5561758924045888,0.5714285714285714,0.9999999999875
형사A(생활형),dense,0.0,0.0,0.5300251245498657,0.5300251245498657,0.5714285714285714,0.9999999999875
형사B(일반형),hybrid,0.5,0.6156093682769135,0.6235530376434326,0.619581202960173,1.0,0.9999999999857143
형사B(일반형),sparse,1.0,0.6156093682769135,0.0,0.6156093682769135,1.0,0.9821428571288265
형사B(일반형),dense,0.0,0.0,0.6235530376434326,0.6235530376434326,1.0,0.9999999999833333
형사B(일반형),hybrid,0.5,0.5930041765485472,0.5197902917861938,0.5563972341673705,1.0,0.9761904761742063
형사B(일반형),sparse,1.0,0.5930041765485472,0.0,0.5930041765485472,1.0,0.9666666666473333
형사B(일반형),dense,0.0,0.0,0.5197902917861938,0.5197902917861938,1.0,0.9617346938638119
형사B(일반형),hybrid,0.5,0.6048143473295534,0.47099149227142334,0.5379029198004883,1.0,0.9666666666473333
형사B(일반형),sparse,1.0,0.6048143473295534,0.0,0.6048143473295534,1.0,0.9666666666473333
형사B(일반형),dense,0.0,0.0,0.47099149227142334,0.47099149227142334,1.0,0.999999999975
형사B(일반형),hybrid,0.5,0.6111980069917018,0.38559237122535706,0.4983951891085294,1.0,0.9999999999875
