MAP,MRR,NDCG
0.8614448051948052,1.0,0.9557218177473503
0.9519230769230769,1.0,0.9866407447105282
0.8160037878787879,1.0,0.9397623526632543
0.9206845238095238,1.0,0.9752652438087496
0.9062881562881563,1.0,0.9726840767755438
0.8741883116883117,1.0,0.9612652185651497
0.8951388888888889,1.0,0.9670943502702473
0.9064685314685315,1.0,0.9728830930456108
0.8763257575757576,1.0,0.9615075921438323
0.8763257575757576,1.0,0.9615075921438323
0.8711670274170275,1.0,0.9587483200208238
0.8073232323232323,1.0,0.9361111548181895
0.8821428571428571,1.0,0.9638254744180912
0.9305555555555556,1.0,0.9803893370708393
0.959375,1.0,0.9888026041880242
0.8503787878787878,1.0,0.9530943250266474
0.9040178571428571,1.0,0.9705031745366295
0.8503787878787878,1.0,0.9530943250266474
0.8886113886113887,1.0,0.9670973186491288
0.8897186147186147,1.0,0.9660272878372698
0.8498397435897436,1.0,0.9536981094179744
0.8373397435897436,1.0,0.9489730257086552
0.899440836940837,1.0,0.9690537901107433
0.9317956349206349,1.0,0.9782917460822231
0.8607954545454546,1.0,0.9567455228717121
0.9184409340659341,1.0,0.9763352746206087
0.8897186147186147,1.0,0.9660272878372698
0.8752185314685315,1.0,0.9625776229556913
0.8951388888888889,1.0,0.9670943502702473
0.8583333333333334,1.0,0.9556545808795888
