category,evaluation_type,alpha,sparse_score,dense_score,hybrid_score,context_recall,context_precision
형사,hybrid,0.3,0.5501133478849772,0.5373709201812744,0.5411936484923853,1.0,0.999999999975
형사,hybrid,0.4,0.5501133478849772,0.5373709201812744,0.5424678912627555,1.0,0.999999999975
형사,hybrid,0.5,0.5501133478849772,0.5373709201812744,0.5437421340331259,1.0,0.999999999975
형사,hybrid,0.6,0.5501133478849772,0.5373709201812744,0.5450163768034961,1.0,0.999999999975
형사,hybrid,0.7,0.5501133478849772,0.5373709201812744,0.5462906195738664,1.0,0.999999999975
형사,sparse,1.0,0.5501133478849772,0.0,0.5501133478849772,1.0,0.999999999975
형사,dense,0.0,0.0,0.5373709201812744,0.5373709201812744,1.0,0.999999999975
형사,hybrid,0.3,0.600966586200422,0.575634241104126,0.5832339446330148,1.0,0.999999999975
형사,hybrid,0.4,0.600966586200422,0.575634241104126,0.5857671791426444,1.0,0.999999999975
형사,hybrid,0.5,0.600966586200422,0.575634241104126,0.588300413652274,1.0,0.999999999975
형사,hybrid,0.6,0.600966586200422,0.575634241104126,0.5908336481619036,1.0,0.999999999975
형사,hybrid,0.7,0.600966586200422,0.575634241104126,0.5933668826715331,1.0,0.999999999975
형사,sparse,1.0,0.600966586200422,0.0,0.600966586200422,1.0,0.999999999975
형사,dense,0.0,0.0,0.575634241104126,0.575634241104126,1.0,0.999999999975
형사,hybrid,0.3,0.6357424427825531,0.6631987690925598,0.6549618711995577,1.0,0.999999999975
형사,hybrid,0.4,0.6357424427825531,0.6631987690925598,0.652216238568557,1.0,0.999999999975
형사,hybrid,0.5,0.6357424427825531,0.6631987690925598,0.6494706059375565,1.0,0.999999999975
형사,hybrid,0.6,0.6357424427825531,0.6631987690925598,0.6467249733065559,1.0,0.999999999975
형사,hybrid,0.7,0.6357424427825531,0.6631987690925598,0.6439793406755551,1.0,0.999999999975
형사,sparse,1.0,0.6357424427825531,0.0,0.6357424427825531,1.0,0.999999999975
형사,dense,0.0,0.0,0.6631987690925598,0.6631987690925598,1.0,0.999999999975
형사,hybrid,0.3,0.5728573792472541,0.5476230382919312,0.5551933405785281,0.8,0.999999999975
형사,hybrid,0.4,0.5728573792472541,0.5476230382919312,0.5577167746740603,0.8,0.999999999975
형사,hybrid,0.5,0.5728573792472541,0.5476230382919312,0.5602402087695926,0.8,0.999999999975
형사,hybrid,0.6,0.5728573792472541,0.5476230382919312,0.5627636428651249,0.8,0.999999999975
형사,hybrid,0.7,0.5728573792472541,0.5476230382919312,0.5652870769606573,0.8,0.999999999975
형사,sparse,1.0,0.5728573792472541,0.0,0.5728573792472541,0.8,0.999999999975
형사,dense,0.0,0.0,0.5476230382919312,0.5476230382919312,0.8,0.999999999975
형사,hybrid,0.3,0.5643517194836174,0.5575788021087646,0.5596106773212205,0.8,0.999999999975
형사,hybrid,0.4,0.5643517194836174,0.5575788021087646,0.5602879690587057,0.8,0.999999999975
